circle,division,subdivision,section,area,catdesc,catcode,totservices,billdservices,units,load
banjara hills,banjara hills,ameerpet,sri krishna nagar,vengalarao nagar a b c,domestic,1,1317,1287.0,180809.625,1969.69
banjara hills,banjara hills,ameerpet,sri krishna nagar,vikaspuri  lakshiminagar,domestic,1,954,923.0,159980.0,1969.69
banjara hills,banjara hills,ameerpet,sri krishna nagar,yadagiri nagar,domestic,1,1469,1351.5,180809.625,1969.69
banjara hills,banjara hills,ameerpet,yella reddy guda,ali nagarsarathi studio,domestic,1,972,959.0,180809.625,1969.69
banjara hills,banjara hills,ameerpet,yella reddy guda,ambedkar nagar,domestic,1,1499,1351.5,180809.625,1969.69
banjara hills,banjara hills,ameerpet,yella reddy guda,ameerpet,domestic,1,11,8.0,3249.0,18.5
banjara hills,banjara hills,ameerpet,yella reddy guda,ameerpet complex,domestic,1,641,638.0,180809.625,1969.69
banjara hills,banjara hills,ameerpet,yella reddy guda,grc high values,domestic,1,29,29.0,37008.0,855.2
banjara hills,banjara hills,ameerpet,yella reddy guda,grc- non - c.t. meters,domestic,1,50,50.0,32209.0,494.0
banjara hills,banjara hills,ameerpet,yella reddy guda,indira nagar,domestic,1,1499,1351.5,180809.625,1969.69
banjara hills,banjara hills,ameerpet,yella reddy guda,jawahar nagarindira nagar,domestic,1,1499,1351.5,180809.625,1969.69
banjara hills,banjara hills,ameerpet,yella reddy guda,jp nagar  engineers colony,domestic,1,1455,1351.5,180809.625,1969.69
banjara hills,banjara hills,ameerpet,yella reddy guda,kamalapuri colony,domestic,1,710,695.0,180809.625,1969.69
banjara hills,banjara hills,ameerpet,yella reddy guda,nagarjuna nagar,domestic,1,583,572.0,127676.0,1883.9
banjara hills,banjara hills,ameerpet,yella reddy guda,old yellareddyguda,domestic,1,1154,1115.0,180809.625,1969.69
banjara hills,banjara hills,ameerpet,yella reddy guda,panjagutta,domestic,1,333,271.0,45230.0,435.31
banjara hills,banjara hills,ameerpet,yella reddy guda,sg nagarbsnlmarket area,domestic,1,1286,1258.0,180809.625,1969.69
banjara hills,banjara hills,ameerpet,yella reddy guda,shalivahana sbh navodaya,domestic,1,1463,1351.5,180809.625,1969.69
banjara hills,banjara hills,ameerpet,yella reddy guda,skd nagar,domestic,1,502,490.0,97046.0,1418.58
banjara hills,banjara hills,ameerpet,yella reddy guda,srinagar apartment,domestic,1,1499,1351.5,180809.625,1969.69
banjara hills,banjara hills,ameerpet,yella reddy guda,srinagar keshavnagar,domestic,1,332,316.0,94459.0,1074.74
banjara hills,banjara hills,ameerpet,yella reddy guda,steel  mines,domestic,1,160,160.0,45474.0,517.0
banjara hills,banjara hills,ameerpet,yella reddy guda,upper basti,domestic,1,1198,1164.0,164287.0,1785.87
banjara hills,banjara hills,ameerpet,yella reddy guda,wb. waddar basthi,domestic,1,1235,1204.0,180809.625,1969.69
banjara hills,banjara hills,ameerpet,yousufguda,b-block-2,domestic,1,1290,1275.0,156713.0,1604.21
banjara hills,banjara hills,ameerpet,yousufguda,gayatri hills,domestic,1,1233,1214.0,180809.625,1897.66
banjara hills,banjara hills,ameerpet,yousufguda,grc high values,domestic,1,202,201.0,180809.625,1969.69
banjara hills,banjara hills,ameerpet,yousufguda,hylam colony,domestic,1,1310,1304.0,180809.625,1969.69
banjara hills,banjara hills,ameerpet,yousufguda,krishna nagar c block,domestic,1,1499,1351.5,180809.625,1969.69
banjara hills,banjara hills,ameerpet,yousufguda,krishnanagar c block,domestic,1,1000,992.0,110799.0,1121.06
banjara hills,banjara hills,ameerpet,yousufguda,laxmi narsimha nagar,domestic,1,1042,980.0,121443.0,1170.19
banjara hills,banjara hills,ameerpet,yousufguda,laxmi narsimha nagar-2,domestic,1,1080,1055.0,121807.0,1135.35
banjara hills,banjara hills,ameerpet,yousufguda,ln nagar mazidh,domestic,1,950,950.0,134776.0,1186.01
banjara hills,banjara hills,ameerpet,yousufguda,maruthi nagar,domestic,1,790,788.0,130666.0,1539.58
banjara hills,banjara hills,ameerpet,yousufguda,mlamps colony,domestic,1,619,568.0,180809.625,1969.69
banjara hills,banjara hills,ameerpet,yousufguda,police quarters,domestic,1,851,253.0,32999.0,778.16
banjara hills,banjara hills,ameerpet,yousufguda,police quarters,domestic,1,758,583.0,68743.0,1091.76
banjara hills,banjara hills,ameerpet,yousufguda,pragathinagar-1,domestic,1,1126,1116.0,180809.625,1969.69
banjara hills,banjara hills,ameerpet,yousufguda,rahamathnagar--2,domestic,1,785,767.0,97132.0,816.17
banjara hills,banjara hills,ameerpet,yousufguda,rahamathnagar-1,domestic,1,1499,1351.5,180809.625,1858.75
banjara hills,banjara hills,ameerpet,yousufguda,rahmanthnagar (north),domestic,1,1499,1351.5,180809.625,1969.69
banjara hills,banjara hills,ameerpet,yousufguda,s k nagar a-block,domestic,1,1499,1351.5,180809.625,1969.69
banjara hills,banjara hills,ameerpet,yousufguda,s.k.nagar  barrela pt,domestic,1,1114,1101.0,135193.0,1469.04
banjara hills,banjara hills,ameerpet,yousufguda,santoshgiri,domestic,1,1499,1351.5,180809.625,1969.69
banjara hills,banjara hills,ameerpet,yousufguda,sravanthi nagar,domestic,1,1291,1283.0,180809.625,1969.69
banjara hills,banjara hills,ameerpet,yousufguda,sri krishna nagar-b block,domestic,1,1255,1215.0,180809.625,1969.69
banjara hills,banjara hills,ameerpet,yousufguda,srikrishna nagar-a block,domestic,1,1321,1305.0,180809.625,1660.01
banjara hills,banjara hills,ameerpet,yousufguda,street lights,domestic,1,1,1.0,8.0,1.0
banjara hills,banjara hills,ameerpet,yousufguda,tahervilla,domestic,1,1,317.0,0.0,1.0
banjara hills,banjara hills,ameerpet,yousufguda,venkatagiri,domestic,1,1491,1351.5,180809.625,1821.3
banjara hills,banjara hills,ameerpet,yousufguda,venkatagiri-2,domestic,1,1435,1351.5,180809.625,1798.36
banjara hills,banjara hills,ameerpet,yousufguda,yousuf guda basti,domestic,1,1499,1351.5,180809.625,1969.69
banjara hills,banjara hills,banjara hills,banjara hills,ibrahimnoorgurubrahma nager,domestic,1,1499,1351.5,180809.625,1969.69
banjara hills,banjara hills,banjara hills,banjara hills,apartment in arora colony,domestic,1,122,122.0,27151.0,502.92
banjara hills,banjara hills,banjara hills,banjara hills,apartments in road no.11,domestic,1,62,62.0,17731.0,241.0
banjara hills,banjara hills,banjara hills,banjara hills,dk basti masjid,domestic,1,516,514.0,153863.0,1969.69
banjara hills,banjara hills,banjara hills,banjara hills,dwarakapuri colony,domestic,1,246,230.0,45338.0,788.5
banjara hills,banjara hills,banjara hills,banjara hills,dwarakapuri colony appt,domestic,1,612,598.0,171547.0,1969.69
