circle,division,subdivision,section,area,catdesc,catcode,totservices,billdservices,units,load
SAROORNAGAR,CHAMPAPET,VANASTHALIPURAM,VANASTHALIPURAM,SAHEBNAGAR,TEMPORARY SUPPLY,8,3,2.0,199.0,3.0
SAROORNAGAR,CHAMPAPET,CHAMPAPET,LENIN NAGAR,MIDHANI ENCLAVE,TEMPORARY SUPPLY,8,1,1.0,0.0,5.0
SAROORNAGAR,CHAMPAPET,CHAMPAPET,LENIN NAGAR,NAVAYUGA ENCLAVE,TEMPORARY SUPPLY,8,1,1.0,490.0,5.0
SAROORNAGAR,CHAMPAPET,CHAMPAPET,LENIN NAGAR,SAI KRUPA NAGAR,TEMPORARY SUPPLY,8,1,1.0,291.0,5.0
SAROORNAGAR,CHAMPAPET,CHAMPAPET,LENIN NAGAR,SEETHA MEADOWS,TEMPORARY SUPPLY,8,2,2.0,1445.0,10.0
SAROORNAGAR,CHAMPAPET,VANASTHALIPURAM,VANASTHALIPURAM,SATYA SAGAR COLONY,TEMPORARY SUPPLY,8,1,1.0,1612.0,10.0
SAROORNAGAR,CHAMPAPET,VANASTHALIPURAM,VANASTHALIPURAM,SNEHAMAI NAGAR,TEMPORARY SUPPLY,8,1,1.0,547.0,5.0
SAROORNAGAR,CHAMPAPET,VANASTHALIPURAM,VANASTHALIPURAM,V.PURAM COMPLEX,TEMPORARY SUPPLY,8,1,1.0,56.0,5.85
SAROORNAGAR,CHAMPAPET,VANASTHALIPURAM,VANASTHALIPURAM,VANASTHALI HILLS,TEMPORARY SUPPLY,8,1,1.0,757.0,12.0
SAROORNAGAR,CHAMPAPET,VANASTHALIPURAM,VANASTHALIPURAM,VANASTHALIPURAM,TEMPORARY SUPPLY,8,1,,0.0,30.0
SAROORNAGAR,CHAMPAPET,VANASTHALIPURAM,VANASTHALIPURAM,VIJAYAPURI COLONY PHASE - II,TEMPORARY SUPPLY,8,1,1.0,435.0,5.0
SAROORNAGAR,SAROORNAGAR,HAYATHNAGAR,AUTONAGAR,AUTO NAGAR,TEMPORARY SUPPLY,8,4,2.0,1008.0,22.0
SAROORNAGAR,SAROORNAGAR,HAYATHNAGAR,AUTONAGAR,AUTONAGAR,TEMPORARY SUPPLY,8,4,,0.0,13.0
SAROORNAGAR,SAROORNAGAR,HAYATHNAGAR,AUTONAGAR,BALAJI NAGAR ,TEMPORARY SUPPLY,8,1,1.0,751.0,6.0
SAROORNAGAR,CHAMPAPET,CHAMPAPET,LENIN NAGAR,SRI DATTA NAGAR,TEMPORARY SUPPLY,8,2,2.0,61.0,6.0
SAROORNAGAR,CHAMPAPET,CHAMPAPET,LENIN NAGAR,SRI HILLS COLNY,TEMPORARY SUPPLY,8,1,1.0,427.0,5.0
SAROORNAGAR,CHAMPAPET,CHAMPAPET,LENIN NAGAR,SRI SRI HOMES,TEMPORARY SUPPLY,8,3,2.0,479.0,11.0
SAROORNAGAR,SAROORNAGAR,HAYATHNAGAR,AUTONAGAR,CHANDRAPURI COLONY,TEMPORARY SUPPLY,8,5,3.0,1055.0,53.5
SAROORNAGAR,SAROORNAGAR,HAYATHNAGAR,AUTONAGAR,CHINTAL KUNTA (K),TEMPORARY SUPPLY,8,6,2.0,310.0,39.0
SAROORNAGAR,SAROORNAGAR,HAYATHNAGAR,AUTONAGAR,CHITRASIMA COLONY,TEMPORARY SUPPLY,8,11,11.0,4568.0,80.0
SAROORNAGAR,SAROORNAGAR,HAYATHNAGAR,AUTONAGAR,COSMOPALITON COLONY,TEMPORARY SUPPLY,8,8,8.0,2473.0,38.0
SAROORNAGAR,SAROORNAGAR,HAYATHNAGAR,AUTONAGAR,HIMA PURI COLONY,TEMPORARY SUPPLY,8,5,4.0,1797.0,26.0
SAROORNAGAR,SAROORNAGAR,HAYATHNAGAR,AUTONAGAR,INDIRA NAGAR,TEMPORARY SUPPLY,8,1,1.0,454.0,9.0
SAROORNAGAR,SAROORNAGAR,HAYATHNAGAR,AUTONAGAR,J. P. ENCLAVE (M),TEMPORARY SUPPLY,8,1,1.0,128.0,1.0
SAROORNAGAR,SAROORNAGAR,HAYATHNAGAR,AUTONAGAR,JUDGES COLONY,TEMPORARY SUPPLY,8,7,7.0,3863.0,31.0
SAROORNAGAR,SAROORNAGAR,HAYATHNAGAR,AUTONAGAR,MALLIKARJUNA NAGAR,TEMPORARY SUPPLY,8,3,3.0,887.0,14.0
SAROORNAGAR,CHAMPAPET,CHAMPAPET,LENIN NAGAR,UDYOG NAGAR,TEMPORARY SUPPLY,8,2,2.0,636.0,10.0
SAROORNAGAR,CHAMPAPET,CHAMPAPET,LENIN NAGAR,VENKATADRI NIVAS - I,TEMPORARY SUPPLY,8,1,1.0,1020.0,5.0
SAROORNAGAR,CHAMPAPET,CHAMPAPET,LENIN NAGAR,VINAYAKA HILLS II,TEMPORARY SUPPLY,8,1,1.0,169.0,5.0
SAROORNAGAR,CHAMPAPET,CHAMPAPET,LENIN NAGAR,VINAYAKA HILLS MAZID ROAD,TEMPORARY SUPPLY,8,1,1.0,175.0,5.0
SAROORNAGAR,CHAMPAPET,CHAMPAPET,LENIN NAGAR,VIRAT NAGAR,TEMPORARY SUPPLY,8,1,1.0,44.0,5.0
SAROORNAGAR,CHAMPAPET,CHAMPAPET,MEERPET,BALAJI COLONY,TEMPORARY SUPPLY,8,1,1.0,0.0,5.0
SAROORNAGAR,CHAMPAPET,CHAMPAPET,MEERPET,BANDI SATHAIAH COLONY,TEMPORARY SUPPLY,8,1,1.0,2846.0,35.0
SAROORNAGAR,SAROORNAGAR,HAYATHNAGAR,AUTONAGAR,MANSOORABAD WEKAR SECTION,TEMPORARY SUPPLY,8,1,1.0,56.0,1.0
SAROORNAGAR,SAROORNAGAR,HAYATHNAGAR,AUTONAGAR,MANSURABAD VILLAGE,TEMPORARY SUPPLY,8,2,1.0,0.0,55.0
SAROORNAGAR,SAROORNAGAR,HAYATHNAGAR,AUTONAGAR,"PRASHANTH NAGAR, MSB",TEMPORARY SUPPLY,8,1,1.0,191.0,7.0
SAROORNAGAR,SAROORNAGAR,HAYATHNAGAR,AUTONAGAR,ROCK TOWN,TEMPORARY SUPPLY,8,15,11.0,6838.0,98.0
SAROORNAGAR,SAROORNAGAR,HAYATHNAGAR,AUTONAGAR,SAHARA INDIA  CM COL,TEMPORARY SUPPLY,8,4,4.0,436.0,12.0
SAROORNAGAR,SAROORNAGAR,HAYATHNAGAR,AUTONAGAR,SARSWATHI NAGAR COLONY,TEMPORARY SUPPLY,8,13,12.0,56879.0,228.0
SAROORNAGAR,SAROORNAGAR,HAYATHNAGAR,AUTONAGAR,SHUBODAYA COLONY,TEMPORARY SUPPLY,8,2,2.0,1146.0,6.0
SAROORNAGAR,SAROORNAGAR,HAYATHNAGAR,AUTONAGAR,SRI SAI NAGAR COLONY,TEMPORARY SUPPLY,8,3,3.0,211.0,9.0
